Ticker,Type,Initial Close,Final Close,Positive Days,Negative Days,Total Monetary Return,Total Percentage Return
AAPL,stock,129.41000366210938,260.8299865722656,686,611,131.41998291015625,1.0155318691845103
AGG,bond,118.04000091552734,100.11000061035156,634,655,-17.93000030517578,-0.1518976632167851
AGTHX,fund,66.75,78.0199966430664,694,592,11.269996643066406,0.16883890101972154
AMZN,stock,159.3314971923828,214.3300018310547,671,626,54.998504638671875,0.345182877257876
BND,bond,88.06999969482422,74.22000122070312,626,652,-13.849998474121094,-0.15726125266394253
BSV,bond,82.88999938964844,78.69000244140625,622,628,-4.1999969482421875,-0.050669525626353185
EEM,etf,52.0,58.68000030517578,672,622,6.680000305175781,0.12846154433030343
EFA,etf,73.33999633789062,99.22000122070312,687,605,25.8800048828125,0.35287709537887935
FCNTX,fund,16.540000915527344,24.149999618530273,691,578,7.60999870300293,0.4600966313042252
FXAIX,fund,128.25999450683594,236.05999755859375,700,591,107.80000305175781,0.8404803342324512
GOOGL,stock,86.30650329589844,307.0400085449219,698,600,220.73350524902344,2.557553565717375
HYG,bond,87.12000274658203,80.04000091552734,647,639,-7.0800018310546875,-0.08126723608640452
IEF,bond,119.9800033569336,96.44000244140624,629,663,-23.540000915527358,-0.19619936870227628
IVV,etf,370.2200012207031,680.1199951171875,706,594,309.8999938964844,0.8370698311130425
IWM,etf,193.5,253.36000061035156,671,629,59.86000061035156,0.30935400832223037
JPM,stock,125.87000274658205,288.7300109863281,691,608,162.8600082397461,1.2938746697863919
LQD,bond,137.42999267578125,110.05999755859376,643,652,-27.369995117187486,-0.1991559090143995
META,stock,268.94000244140625,654.0700073242188,670,628,385.1300048828125,1.4320294541036915
MSFT,stock,217.69000244140625,405.760009765625,675,624,188.07000732421875,0.8639349773301599
NVDA,stock,13.113499641418455,184.77000427246097,697,601,171.6565046310425,13.090060573065669
QQQ,etf,309.30999755859375,607.77001953125,711,588,298.46002197265625,0.9649220016437323
SHY,bond,86.38999938964844,82.72000122070312,613,610,-3.6699981689453125,-0.04248174782815273
SPY,etf,368.7900085449219,677.1799926757812,707,591,308.3899841308594,0.836221093265586
SWPPX,fund,9.428299903869627,17.40999984741211,693,586,7.981699943542482,0.8465683129433099
TIP,bond,127.79000091552734,111.23999786376952,646,638,-16.550003051757827,-0.1295093742326352
TLT,bond,157.5399932861328,88.27999877929688,632,664,-69.25999450683594,-0.4396343624380009
TRBCX,fund,162.85000610351562,197.6199951171875,707,586,34.769989013671875,0.21350928898074661
TSLA,stock,243.2566680908203,399.239990234375,670,629,155.9833221435547,0.6412293786960777
V,stock,217.7599945068359,314.42999267578125,685,614,96.66999816894534,0.443929099042619
VFIAX,fund,341.4700012207031,627.4000244140625,698,599,285.9300231933594,0.8373503446018777
VGIT,bond,69.44999694824219,59.970001220703125,612,656,-9.479995727539062,-0.13650102439319123
VGTSX,fund,19.450000762939453,25.459999084472656,693,577,6.009998321533203,0.3089973308887892
VOO,etf,339.0299987792969,622.719970703125,709,589,283.6899719238281,0.8367695276089884
VTI,etf,191.8699951171875,333.510009765625,697,597,141.6400146484375,0.7382082569081669
VTSAX,fund,93.3499984741211,162.35000610351562,694,594,69.00000762939453,0.7391538163605116
VWELX,fund,43.970001220703125,44.38999938964844,684,591,0.4199981689453125,0.00955192534194338
VWINX,fund,28.15999984741211,25.829999923706055,678,561,-2.3299999237060547,-0.08274147501176854
WMT,stock,48.84333419799805,125.12000274658205,702,596,76.276668548584,1.561659739267152
XLF,etf,29.079999923706055,50.060001373291016,678,610,20.98000144958496,0.7214580985085228
XLK,etf,63.95000076293945,139.75999450683594,712,586,75.80999374389648,1.1854572766139855
